Timestamp,Animal,Staff,Log Type,Date,Time,Feeding Log,Did you feed all individuals? ,"If not, who did you feed?",What did you feed? (Weight per animal) [<1/4 lb],What did you feed? (Weight per animal) [1/4 lb],What did you feed? (Weight per animal) [1/2 lb],What did you feed? (Weight per animal) [3/4 lb],What did you feed? (Weight per animal) [1 lb],What did you feed? (Weight per animal) [1.25 lb],What did you feed? (Weight per animal) [1.5 lb],What did you feed? (Weight per animal) [1.75 lb],What did you feed? (Weight per animal) [2 lb],What did you feed? (Weight per animal) [5 lb],What did you feed? (Weight per animal) [10 lb],What did you feed? (Weight per animal) [15 lb],What did you feed? (Weight per animal) [20 lb],If other,Deer feed scoops,Observation Log,Observation Type,Finding,Habitat Cleaning Log,Description of cleaning,Enrichment Log,Which individuals in habitat?,Enrichment type,Enrichment type details,Time In,Time Out,Response,Notes,Medical Logs,Animal Name,Encounter Type,Injury Log,Type,Injury description,Exam Type,Animal sedated?,Vet notified?,Vet response,Did you administer medication?,Sedation Log,Sedation medication used,Which sedation kit was used?,Administration method,Dose,Time administered,Time to respond,Medication Log,Type,Dose,Administration Route,Did animal take medication?,Did you sedate?,Vet Log,Type,Vet name,Type,Location,Notes,Reminders,Reminder Date,Reminder/Note
12/1/2024 10:43,Red Fox,Jake,Feeding/Observation,12/1/2024,10:30:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2024 10:45,Wolf,Jake,Habitat Cleaning/Observation,12/1/2024,10:00:00 AM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,"Water change, Waste removal, Brush removal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2024 10:43,Bobcat,Jake,Feeding/Observation,12/1/2024,9:00:00 AM,,Yes,,,,,,,Nebraska Brand,,,,,,,,0.60 lb of NB each ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2024 16:31,Bobcat,Jake,Feeding/Observation,11/30/2024,4:45:00 PM,,Yes,,,,,Nebraska Brand,,,,,,,,,,0.40 lb of NB  each,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2024 16:32,Red Fox,Jake,Feeding/Observation,11/30/2024,4:30:00 PM,,Yes,,,,,Nebraska Brand,,,,,,,,,,0.40lb of NB each,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2024 16:29,Bobcat,Jake,Enrichment/Observation,11/30/2024,4:00:00 PM,,,,,,,,,,,,,,,,,,,,DVE,NSF,,,,All,Food and toy,0.15 each of baby chicks and gave them there ball,3:50:00 PM,4:00:00 PM,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2024 16:30,Wolf,Jake,Feeding/Observation,11/30/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,Everyone got 7 lb of NB and one turkey each ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2024 10:17,Red Fox,Jake,Feeding/Observation,11/30/2024,10:00:00 AM,,Yes,,,,,,,,,,,,,,,0.30lb of sweet potato each ,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2024 9:32,Bobcat,Jake,Feeding/Observation,11/30/2024,9:30:00 AM,,Yes,,,,,,,,,,,,,,,0.60lb of NB each,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2024 17:19,Red Fox,Jake,Feeding/Observation,11/29/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,0.40lb of NB,,,DVE,NSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
