Timestamp,Animal,Staff,Log Type,Date,Time,Feeding Log,Did you feed all individuals? ,"If not, who did you feed?",What did you feed? (Weight per animal) [<0.15 lb],What did you feed? (Weight per animal) [0.25 lb],What did you feed? (Weight per animal) [0.5 lb],What did you feed? (Weight per animal) [0.75 lb],What did you feed? (Weight per animal) [1 lb],What did you feed? (Weight per animal) [1.25 lb],What did you feed? (Weight per animal) [1.5 lb],What did you feed? (Weight per animal) [1.75 lb],What did you feed? (Weight per animal) [2 lb],What did you feed? (Weight per animal) [5 lb],What did you feed? (Weight per animal) [10 lb],What did you feed? (Weight per animal) [15 lb],What did you feed? (Weight per animal) [20 lb],Additional weight information,Extra Food Info,If other,Amount_fed,Food_type,Deer feed scoops,Observation Type,Finding
12/1/2024 10:43,Red Fox,Jake,Feeding/Observation,12/1/2024,10:30:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
12/1/2024 10:43,Bobcat,Jake,Feeding/Observation,12/1/2024,9:00:00 AM,,Yes,,,,,,,Nebraska Brand,,,,,,,,,,0.60 lb of NB each ,,,,DVE,NSF
11/30/2024 16:31,Bobcat,Jake,Feeding/Observation,11/30/2024,4:45:00 PM,,Yes,,,,,,Nebraska Brand,,,,,,,,,,,0.40 lb of NB  each,,,,DVE,NSF
11/30/2024 16:32,Red Fox,Jake,Feeding/Observation,11/30/2024,4:30:00 PM,,Yes,,,,,Nebraska Brand,,,,,,,,,,,,0.40lb of NB each,,,,DVE,NSF
11/30/2024 16:30,Wolf,Jake,Feeding/Observation,11/30/2024,2:00:00 PM,,Yes,,,,,,,,,,,,,,,107,Nebraska Brand/Turkey,Everyone got 7 lb of NB and one turkey each ,,,,DVE,NSF
11/30/2024 10:17,Red Fox,Jake,Feeding/Observation,11/30/2024,10:00:00 AM,,Yes,,,,,,,,,,,,,,,,,0.30lb of sweet potato each ,,,,DVE,NSF
11/30/2024 9:32,Bobcat,Jake,Feeding/Observation,11/30/2024,9:30:00 AM,,Yes,,,,,,,,,,,,,,,,,0.60lb of NB each,,,,DVE,NSF
11/29/2024 17:19,Red Fox,Jake,Feeding/Observation,11/29/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB,,,,DVE,NSF
11/29/2024 17:17,Bobcat,Jake,Feeding/Observation,11/29/2024,4:30:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB ,,,,DVE,NSF
11/29/2024 10:35,Red Fox,Jake,Feeding/Observation,11/29/2024,9:30:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
11/29/2024 10:35,Bobcat,Jake,Feeding/Observation,11/29/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/28/2024 17:07,Bobcat,Jake,Feeding/Observation,11/28/2024,5:00:00 PM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/28/2024 17:08,Red Fox,Jake,Feeding/Observation,11/28/2024,4:45:00 PM,,Yes,,,,,,,,,,,,,,,,,0.40lb of NB,,,,DVE,NSF
11/28/2024 17:06,Red Fox,Jake,Feeding/Observation,11/28/2024,10:00:00 AM,,Yes,,,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
11/28/2024 9:26,Bobcat,Jake,Feeding/Observation,11/28/2024,9:00:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/27/2024 19:27,Red Fox,John,Feeding/Observation,11/27/2024,4:45:00 PM,,Yes,,Whole prey,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
11/27/2024 19:27,Bobcat,John,Feeding/Observation,11/27/2024,4:30:00 PM,,Yes,,Whole prey,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/27/2024 19:26,Wolf,John,Feeding/Observation,11/27/2024,2:00:00 PM,,Yes,,,,,,Nebraska Brand,,,,Nebraska Brand,Nebraska Brand,,,,,,,,,,DVE,NSF
11/27/2024 9:52,Red Fox,John,Feeding/Observation,11/27/2024,9:45:00 AM,,Yes,,Nebraska Brand,Fresh Vegetables,,,,,,,,,,,,,,,,,,DVE,NSF
11/27/2024 9:46,Bobcat,John,Feeding/Observation,11/27/2024,9:20:00 AM,,Yes,,,,Nebraska Brand,,,,,,,,,,,,,,,,,DVE,NSF
11/26/2024 16:26,Red Fox,John,Feeding/Observation,11/26/2024,4:25:00 PM,,Yes,,Nebraska Brand,Nebraska Brand,,,,,,,,,,,,,,,,,,DVE,NSF
